id,name,profile_name,clicks,registrations,ftd_count,reg_rate,ftd_rate,ngr_per_ftd,total_ngr,retention_30d
46,Spence PLC,SEO,9764,553,223,0.0567,0.4041,208.1,46405.4,0.6367
47,Anderson Group,SEO,6671,428,133,0.0642,0.312,137.92,18343.4,0.6416
48,"Martin, Rose and Obrien",SEO,7619,563,185,0.074,0.3302,143.57,26560.4,0.5591
49,Hickman Ltd,SEO,13403,1143,445,0.0853,0.3902,111.77,49737.8,0.6183
50,"Harris, Collins and Carney",SEO,18299,1461,607,0.0798,0.4155,134.97,81924.6,0.4597
51,"Brooks, Lam and Hayes",SEO,8791,411,127,0.0468,0.3106,141.98,18030.8,0.5595
52,Walker LLC,SEO,33952,2177,765,0.0641,0.3517,198.68,151987,0.4221
53,Chapman and Sons,SEO,4804,309,118,0.0644,0.3834,198.44,23416,0.5292
54,"Robinson, Jones and Welch",SEO,38454,1950,718,0.0507,0.3682,212.25,152394,0.6423
55,Jones Inc,SEO,39472,2785,1006,0.0706,0.3615,118.3,119008,0.5412
56,Jones-Young,SEO,4309,236,89,0.0549,0.3787,203.16,18081.3,0.424
57,"Washington, Ryan and Cummings",SEO,7634,672,257,0.088,0.3831,158.55,40746.1,0.6552
58,"Johnston, Sanchez and Kennedy",SEO,26490,1382,483,0.0522,0.3502,177.75,85850.9,0.5651
59,Lee-Davis,SEO,34163,2515,839,0.0736,0.3337,166.73,139883,0.5925
60,Gomez-Jenkins,SEO,38920,1841,529,0.0473,0.2874,200.6,106117,0.5682
61,"Brown, Valdez and Lucas",SEO,11913,980,312,0.0823,0.3192,93.28,29102.4,0.5429
62,Powell LLC,SEO,6266,396,124,0.0632,0.314,195.05,24186.1,0.4502
63,Wright and Sons,SEO,27025,1202,336,0.0445,0.2803,143.23,48125.8,0.5288
64,"West, Henderson and Ramirez",SEO,23830,1859,686,0.078,0.3691,100.62,69025.1,0.4784
65,Baxter Inc,SEO,32146,2643,880,0.0822,0.3331,144.06,126773,0.5604
66,Morton-Chase,SEO,10230,522,148,0.0511,0.2841,146.67,21706.6,0.4325
67,Williams PLC,SEO,5971,506,210,0.0848,0.415,173.07,36345.5,0.5989
68,Novak and Sons,SEO,14487,1274,447,0.088,0.3513,99.54,44493.8,0.6096
69,Russell Group,SEO,27434,2243,688,0.0818,0.3071,136.45,93881,0.5866
70,Hancock Inc,SEO,34804,2378,690,0.0684,0.2903,171.53,118353,0.661
71,Gray Group,SEO,21887,1327,441,0.0607,0.3329,149.78,66055,0.5293
72,House-Glover,SEO,36449,2876,838,0.0789,0.2915,158.16,132538,0.6355
73,Henderson-Bernard,SEO,35552,2821,802,0.0794,0.2846,147.32,118150,0.5799
74,"Stanley, Tucker and Lee",SEO,23637,1338,400,0.0566,0.2994,154.9,61961.4,0.4965
75,Novak PLC,SEO,10416,774,307,0.0744,0.3975,114.53,35161.5,0.4469
76,"Daniels, Adkins and Brown",SEO,12917,811,325,0.0628,0.4014,216.03,70209.7,0.6193
77,"Woods, Calhoun and Schmidt",SEO,24338,1030,306,0.0424,0.2976,100.75,30830.4,0.493
78,Yu Inc,SEO,15859,875,333,0.0552,0.3806,94.56,31487.3,0.6649
79,Jones Inc,SEO,25069,1964,553,0.0784,0.282,116.04,64167.4,0.6348
80,"Hensley, Powell and David",SEO,32965,1487,572,0.0451,0.3851,101.66,58150.5,0.6008
81,"Sanchez, Wheeler and Harvey",SEO,4771,313,116,0.0657,0.3732,174.53,20245.5,0.6484
82,Sandoval-Cunningham,SEO,39776,2254,864,0.0567,0.3835,216.24,186834,0.556
83,Donovan-Harris,SEO,21756,1346,419,0.0619,0.3119,145.78,61082.9,0.5436
84,"Edwards, Baker and Anderson",SEO,29710,2502,1048,0.0842,0.419,150.28,157495,0.5569
85,"Evans, Stewart and Walton",SEO,15092,1005,303,0.0667,0.3017,188.26,57044,0.6199
86,Smith PLC,SEO,3717,223,87,0.0601,0.3922,218.16,18980.1,0.4953
87,"Ferrell, Jones and Lewis",SEO,7701,654,243,0.085,0.373,107.91,26222.3,0.5606
88,Anderson-Bailey,SEO,39062,2507,1011,0.0642,0.4036,116.75,118031,0.4292
89,Suarez LLC,SEO,25065,2050,632,0.0818,0.3084,137.54,86926.7,0.4535
90,Moore-Bass,SEO,20519,909,328,0.0443,0.3615,200.38,65725.9,0.4803
91,"Turner, Riggs and Roman",SEO,37930,2540,798,0.067,0.3144,151.95,121254,0.5156
92,"Smith, Montoya and Evans",SEO,11054,548,171,0.0496,0.3125,164.63,28151.1,0.5729
93,"Garcia, Humphrey and Baker",SEO,37817,2672,1095,0.0707,0.41,170.92,187161,0.4784
94,Newton and Sons,SEO,9548,786,252,0.0823,0.3214,125.92,31730.8,0.4473
95,Campbell-Clark,SEO,34049,2782,894,0.0817,0.3216,176.98,158224,0.4561
96,Harris-Walters,SEO,28420,2523,920,0.0888,0.3649,213.73,196630,0.6753
97,Wagner-King,SEO,10662,950,308,0.0892,0.325,150.9,46478.1,0.4866
98,Davis Group,SEO,28055,1952,612,0.0696,0.314,104.96,64238.4,0.6544
99,Williams-Cook,SEO,16455,1233,489,0.075,0.397,215.32,105291,0.4224
100,Walsh LLC,SEO,7391,556,182,0.0753,0.3284,218.88,39836.3,0.5284
101,Figueroa PLC,SEO,38797,1681,585,0.0433,0.3483,195.81,114547,0.4627
102,"Patterson, Smith and Jones",SEO,10143,519,197,0.0512,0.3812,92.51,18224.7,0.5511
103,"Mckee, Gardner and Davenport",SEO,27184,1617,521,0.0595,0.3223,105.04,54728.4,0.5855
104,"Tran, Jordan and Williams",SEO,12957,1110,455,0.0857,0.4099,106.68,48537.8,0.442
105,Nolan-Flynn,SEO,31876,1570,464,0.0493,0.2958,155.11,71972.5,0.634
106,Nolan and Sons,SEO,27065,2017,665,0.0746,0.3298,92.52,61525.7,0.5895
107,"Wright, Garcia and Deleon",SEO,32387,2521,834,0.0779,0.331,190.18,158611,0.6095
108,Dickson-Brady,SEO,39190,3369,1175,0.086,0.3488,125.4,147346,0.4204
109,Hancock and Sons,SEO,5739,386,110,0.0673,0.285,182.73,20100.8,0.4998
110,Johnson-Doyle,SEO,29394,2439,819,0.083,0.3358,177.25,145170,0.6403
111,Patton-Jenkins,SEO,22714,940,381,0.0414,0.4058,151.15,57589.4,0.5565
112,"Shields, Cochran and Adams",SEO,10909,735,248,0.0675,0.3376,90.05,22332.3,0.458
113,"Rodriguez, Brennan and Garrison",SEO,25283,1570,632,0.0621,0.403,218.47,138073,0.6117
114,Gonzalez Group,SEO,37158,2003,786,0.0539,0.3927,135.08,106169,0.4804
115,Torres-Pope,SEO,16769,1453,440,0.0867,0.3035,96.63,42517.7,0.6776
116,Walker Ltd,SEO,12155,1046,373,0.0861,0.3573,180.71,67403.1,0.5259
117,Ross LLC,SEO,15286,746,305,0.0488,0.4088,189.42,57774.4,0.6608
118,Rasmussen LLC,SEO,4178,194,68,0.0465,0.3543,148.66,10108.9,0.6209
119,May-Ross,SEO,27257,1362,508,0.05,0.373,176.92,89874.8,0.6424
120,"Rivera, Johnson and Wiley",SEO,4797,286,103,0.0598,0.3626,135.09,13914.2,0.6062
121,White-Estes,SEO,10550,621,188,0.0589,0.3038,162.74,30595.9,0.4824
122,Johnson-Carlson,SEO,3711,176,69,0.0475,0.3959,214.59,14806.6,0.6376
123,Chandler-Edwards,SEO,10464,755,232,0.0722,0.308,176.31,40904,0.5161
124,"Joyce, Wilson and Lam",SEO,17598,1253,467,0.0712,0.3733,97.53,45546.2,0.4289
125,Scott Ltd,SEO,14351,1106,456,0.0771,0.4123,126.57,57713.8,0.472
126,Smith-Frost,SEO,9970,854,304,0.0857,0.3571,179.5,54568.9,0.6101
127,"Mcdaniel, Bentley and Mclaughlin",SEO,19099,1067,430,0.0559,0.4035,173.77,74721.6,0.6173
128,Diaz Inc,SEO,13670,575,198,0.0421,0.346,199.85,39570,0.6685
129,"Mccall, Hanson and Alvarado",SEO,30187,1720,611,0.057,0.3555,93.99,57429.4,0.5356
130,Cortez LLC,SEO,22297,1962,649,0.088,0.3312,103.46,67144.7,0.5461
131,"Parker, Ortiz and Powell",SEO,12076,838,346,0.0695,0.4136,122.41,42354.8,0.5371
132,Spencer-Lee,SEO,11307,509,195,0.045,0.384,146.83,28632.3,0.4954
133,"Bentley, Byrd and Orr",SEO,35388,1869,559,0.0528,0.2995,177.53,99238.5,0.4316
134,"Carroll, Sullivan and Bass",SEO,37928,2250,779,0.0593,0.3464,202.23,157535,0.4224
135,Mitchell-Jordan,SEO,33425,1917,675,0.0574,0.3523,117.99,79640.8,0.6269
136,"Lawson, Morris and Ramos",SEO,8000,422,151,0.0529,0.358,167.4,25277.6,0.5719
137,"Lewis, Kennedy and Santana",SEO,33512,2846,1147,0.0849,0.4033,182.95,209841,0.499
138,"Jackson, Miller and Robertson",SEO,23289,1516,512,0.0651,0.3383,182.1,93232.8,0.5388
139,"Harvey, Davis and Crane",SEO,5152,365,149,0.071,0.4109,118.8,17701.6,0.6064
140,Chambers and Sons,SEO,12600,764,316,0.0607,0.4141,182.39,57634.6,0.5337
141,Hernandez Inc,SEO,29215,2556,862,0.0875,0.3375,207.49,178855,0.5498
142,Riggs PLC,SEO,27285,1648,468,0.0604,0.2844,209,97810,0.5349
143,Gibson Ltd,SEO,23985,1855,682,0.0773,0.3681,141.89,96770.8,0.5599
144,"Lee, Horton and Snyder",SEO,34680,2210,618,0.0637,0.2801,189.21,116930,0.4515
145,Hernandez Ltd,SEO,8892,411,129,0.0463,0.3159,196.33,25327.2,0.4984
146,Stafford Inc,SEO,13178,1105,446,0.0839,0.4042,149.91,66858.1,0.4832
147,Robinson-Brock,SEO,24994,1542,480,0.0617,0.3113,122.58,58838,0.5037
148,"Holmes, Williams and Wright",SEO,38503,3172,895,0.0824,0.2822,94.02,84147.5,0.5294
149,Bryant Group,SEO,12779,1099,347,0.086,0.3158,153.84,53381.2,0.5258
150,"Schmidt, Hansen and Stewart",SEO,22683,1176,476,0.0519,0.4051,172.12,81929,0.6415
151,Salazar-Ball,SEO,17211,1034,402,0.0601,0.3891,141.44,56857.3,0.4924
152,"Simmons, Meadows and Griffin",SEO,16331,1126,448,0.069,0.3985,160.91,72088.7,0.4211
153,Manning Group,SEO,39145,3204,1295,0.0819,0.4043,100.19,129742,0.5051
154,Green-Wright,SEO,8226,630,228,0.0766,0.3633,149,33972,0.4337
155,"Ramirez, Strickland and Washington",SEO,20019,1264,463,0.0632,0.3666,206.04,95397.7,0.5684
156,Hill Inc,SEO,19182,952,357,0.0497,0.3758,136.4,48693.2,0.4863
157,"Mitchell, Nelson and Flores",SEO,38061,2930,1167,0.077,0.3985,133.92,156286,0.4707
158,"Miller, Hernandez and Reyes",SEO,14434,1124,443,0.0779,0.3942,104.41,46252.3,0.6152
159,Mccarthy Inc,SEO,8948,606,185,0.0678,0.3056,162.31,30027.5,0.6389
160,Russell-Daniels,SEO,17749,900,351,0.0507,0.3907,113.15,39714.9,0.4707
161,Brown-Wall,SEO,6681,347,108,0.0521,0.314,219.66,23722.8,0.5355
162,Stein-Silva,SEO,25591,1143,454,0.0447,0.3978,178.63,81097.9,0.5915
163,"Smith, Gilmore and Johnston",SEO,11089,891,252,0.0804,0.2838,103.11,25984,0.5474
164,Smith-Bell,SEO,7182,542,222,0.0755,0.4102,132.68,29455,0.595
165,Castaneda-Ashley,SEO,17812,833,254,0.0468,0.3056,199.61,50700.9,0.4905
166,Medina-Navarro,SEO,10217,568,185,0.0556,0.3261,117.52,21741.2,0.5606
167,"Hurst, Freeman and Nelson",SEO,16237,907,350,0.0559,0.3861,201.77,70621.2,0.6435
168,Johnson-Rogers,SEO,20638,1718,672,0.0833,0.3913,211.83,142350,0.5388
169,"Yates, Ramsey and Pittman",SEO,6138,411,162,0.0671,0.3956,158.37,25655.3,0.6425
170,Hooper PLC,SEO,12353,976,375,0.079,0.3843,192.32,72121.3,0.533
171,Meadows PLC,SEO,32300,2649,996,0.082,0.3763,190.53,189769,0.5693
172,"Alvarado, Miller and Patterson",SEO,26073,1363,480,0.0523,0.3527,159.47,76546.1,0.6337
173,White-Green,SEO,8714,412,160,0.0474,0.3889,218.59,34974.6,0.6281
174,Lewis-Murphy,SEO,26801,2375,698,0.0886,0.2942,161.52,112742,0.5933
175,Ramirez-Bean,SEO,34662,2072,679,0.0598,0.3277,204.76,139030,0.6617
176,King-Miller,SEO,9534,515,215,0.0541,0.4187,95.12,20449.9,0.6523
177,Curry Inc,SEO,21912,1783,706,0.0814,0.3961,179.16,126485,0.6035
178,Walker-Jones,SEO,3616,264,94,0.0731,0.358,120.47,11323.8,0.6157
179,"Williams, Johnson and Wright",SEO,22300,1171,456,0.0525,0.3896,193.87,88405.3,0.6617
180,Howell and Sons,SEO,11135,845,296,0.0759,0.3513,91.02,26941.3,0.6066
181,Wells Inc,SEO,31412,2375,853,0.0756,0.3594,141.07,120332,0.4429
182,"Gould, Marshall and Scott",SEO,12485,555,210,0.0445,0.3798,103.2,21671.2,0.6011
183,Jackson-Lawson,SEO,35909,2348,906,0.0654,0.3861,169.19,153282,0.4439
184,"Higgins, Strickland and Martin",SEO,25959,2291,919,0.0883,0.4013,207.68,190858,0.6003
185,Rodriguez-Johnson,SEO,39936,3393,1045,0.085,0.3082,199.93,208922,0.653
186,Johnston-Odonnell,SEO,25171,1534,503,0.061,0.3283,180.21,90644.9,0.5319
187,Sanders-Espinoza,SEO,38131,1851,597,0.0486,0.3228,164.55,98237.4,0.4638
188,Vargas Ltd,SEO,15058,1077,322,0.0716,0.2996,201.03,64730.6,0.5731
189,Garcia LLC,SEO,13278,811,327,0.0611,0.4043,96.42,31529.9,0.5306
190,"Burke, Martinez and Riggs",SEO,13579,586,168,0.0432,0.2878,209.05,35120.5,0.5736
191,Reed Group,SEO,17044,788,286,0.0462,0.364,140.42,40161.1,0.5301
192,"Wood, Hunter and Peterson",SEO,31485,1835,566,0.0583,0.3086,92.24,52206.7,0.4955
193,Short-Garcia,SEO,17417,717,231,0.0412,0.3233,122.87,28382.7,0.659
194,Reid-Poole,SEO,29633,2041,831,0.0689,0.4074,163,135451,0.5879
195,"Hernandez, Thompson and Boyd",SEO,24756,2017,572,0.0815,0.2839,143.7,82194,0.5991
196,"Nelson, Morton and Medina",SEO,31968,1308,432,0.0409,0.3308,125.94,54406.6,0.4759
197,Marshall-Petersen,SEO,31635,1799,677,0.0569,0.3765,199.37,134976,0.5041
198,"Adams, Christian and Rivas",SEO,14908,993,344,0.0667,0.3471,131.94,45387.8,0.5664
199,Ramirez Group,SEO,11892,725,301,0.061,0.4153,93.72,28209.2,0.5543
200,Christensen PLC,SEO,32584,1469,450,0.0451,0.307,134.37,60464.3,0.5783
201,"Barnett, Rogers and Snyder",SEO,5636,237,73,0.0421,0.3115,143.72,10491.3,0.5905
202,White-Lewis,SEO,14270,999,328,0.07,0.3286,90.19,29581.3,0.5108
203,Peterson-Beard,SEO,9968,773,287,0.0776,0.372,153.5,44055.2,0.6326
204,"Beard, Peters and Black",SEO,5042,272,111,0.054,0.4082,218.01,24198.6,0.4866
205,Miller Ltd,SEO,37625,1815,628,0.0482,0.3464,129.73,81470.1,0.5772
206,Freeman-Chang,SEO,30270,2393,822,0.0791,0.3436,124.24,102126,0.6505
207,"Alvarez, Joseph and West",SEO,8655,407,160,0.0471,0.3944,177.99,28477.6,0.6176
208,Davis and Sons,SEO,35582,1997,575,0.0561,0.2881,120.96,69554.6,0.544
209,Holt-Torres,SEO,29189,1963,550,0.0673,0.2804,108.18,59497.5,0.6282
210,"Wood, Tran and Cooper",SEO,14006,1251,517,0.0893,0.4136,152.35,78763.4,0.6335
211,"Pierce, Bell and Chavez",SEO,9025,809,237,0.0896,0.2932,207.83,49256.4,0.6539
212,King-Martinez,SEO,18359,966,303,0.0526,0.3146,174.03,52729.9,0.5771
213,Stewart Ltd,SEO,36208,1977,640,0.0546,0.3239,193.11,123592,0.5273
214,"Tapia, Vaughn and Lee",SEO,23609,1732,512,0.0734,0.2958,175.67,89944.9,0.5298
215,"Washington, Hardy and Bray",SEO,9918,727,217,0.0734,0.2995,181.18,39316.6,0.5472
216,"Carlson, Hooper and Wall",SEO,20800,1213,465,0.0583,0.384,107.77,50112.3,0.6719
217,Perez-White,SEO,28648,1846,765,0.0645,0.4147,160.77,122993,0.6483
218,Erickson and Sons,SEO,18095,1166,403,0.0645,0.3462,210.69,84909.7,0.4247
219,Williams-Brown,SEO,26795,1514,442,0.0565,0.292,150.19,66383.6,0.5662
220,Terry-Martinez,SEO,4847,326,107,0.0674,0.3293,146.87,15714.8,0.4341
221,Garcia-Smith,SEO,5155,408,115,0.0792,0.2842,133.46,15348.4,0.4669
222,Harrison-Alexander,SEO,25842,1828,562,0.0708,0.3075,138.27,77710.3,0.6356
223,Sheppard LLC,SEO,16586,1280,447,0.0772,0.3499,140.11,62631,0.4855
224,Wilson-Jones,SEO,21810,966,280,0.0443,0.2899,119.62,33494.3,0.4561
225,Jones-Soto,SEO,18680,861,348,0.0461,0.4052,132.68,46172.6,0.6202
226,Hernandez PLC,SEO,29826,2058,727,0.069,0.3534,112.79,81998,0.6282
227,Miller-Wright,SEO,25251,2085,592,0.0826,0.2841,106.52,63058.8,0.4224
228,"Duran, Obrien and Gibbs",SEO,13931,1221,381,0.0877,0.3128,177.64,67681,0.5094
229,Rowe Group,SEO,24499,1276,453,0.0521,0.3555,199.05,90167.9,0.5034
230,Kerr-Evans,SEO,34394,1746,677,0.0508,0.3883,214.14,144971,0.6721
231,"Branch, Torres and Oliver",SEO,25956,1972,616,0.076,0.3126,104.24,64209.6,0.5282
232,"Choi, Garcia and Farmer",SEO,5000,346,107,0.0692,0.3099,138.75,14846.1,0.5577
233,"Clark, Guerrero and Moore",SEO,10045,691,240,0.0688,0.3477,93.83,22519,0.4426
234,Arnold and Sons,SEO,15890,1147,449,0.0722,0.3917,144.56,64908.1,0.6438
235,Ortiz Ltd,SEO,6290,260,89,0.0414,0.345,184.43,16414.4,0.5213
236,"Harrison, Johnson and Roberts",SEO,26231,1706,672,0.065,0.3942,160.19,107650,0.5613
237,Warner-Gibson,SEO,27103,1280,522,0.0472,0.4085,174.82,91257.2,0.4707
238,"Hall, Baker and Moody",SEO,14097,1190,496,0.0844,0.4176,129.85,64406.5,0.6748
239,"Guerrero, Peck and Coleman",SEO,32419,1317,416,0.0406,0.3163,214.87,89387.4,0.5694
240,"Walker, Hernandez and Baker",SEO,35062,2307,901,0.0658,0.3906,167.78,151169,0.5038
241,Jones and Sons,SEO,9186,482,150,0.0526,0.3125,112.96,16944.7,0.4272
242,Larson-Holloway,SEO,19967,1370,520,0.0686,0.3801,90.22,46916.1,0.5225
243,Gonzales-Harrison,SEO,20817,846,251,0.0407,0.2967,204.32,51284.4,0.6341
244,Lyons-Bender,SEO,35717,2851,1134,0.0798,0.3979,173.97,197285,0.5139
245,"Fernandez, Kim and George",SEO,16190,987,345,0.061,0.3498,109.21,37676.1,0.5141
246,Navarro-Munoz,SEO,13410,831,280,0.062,0.3379,97.5,27298.8,0.4363
247,Davis Ltd,SEO,17698,1536,590,0.0868,0.3842,109.02,64322.9,0.5038
248,"Matthews, Smith and Hubbard",SEO,11590,809,314,0.0699,0.3888,102.43,32164.1,0.6358
249,Johnston-Hines,SEO,38115,3274,993,0.0859,0.3035,158.91,157802,0.5944
250,Ruiz Ltd,SEO,9276,660,225,0.0712,0.3409,185.41,41717.3,0.4942
251,Moon-White,SEO,34860,2002,676,0.0575,0.3378,142.21,96136.6,0.5162
252,"Graham, Olsen and Costa",SEO,16890,1376,406,0.0815,0.2953,155.69,63208.9,0.6369
253,Bailey-Cook,SEO,16023,1165,474,0.0727,0.4071,96.71,45840.3,0.4486
254,"Garcia, Martin and Jenkins",SEO,38853,2595,800,0.0668,0.3086,91.09,72868.3,0.6365
255,Roberts-Landry,SEO,9119,407,145,0.0447,0.3586,150.73,21856.1,0.6562
256,"Johnson, Miller and King",SEO,39516,3206,1049,0.0812,0.3275,101.26,106222,0.5533
257,Cordova Group,SEO,25899,1129,402,0.0436,0.3562,166.66,66997.9,0.593
258,"Bryan, Smith and Booth",SEO,7134,407,145,0.0572,0.3582,186.22,27001.9,0.4852
259,Gutierrez-Lopez,SEO,34290,2304,932,0.0672,0.4047,148.41,138319,0.6549
260,Dean-Jimenez,SEO,15799,981,399,0.0621,0.407,131.11,52313.1,0.6043
261,Wolf-Harris,SEO,28252,1677,563,0.0594,0.3361,167.32,94202.6,0.5324
262,"Anderson, Roberts and Gilmore",SEO,14608,1214,398,0.0831,0.3281,174.09,69287.8,0.5031
263,Martinez-Dudley,SEO,10466,530,216,0.0507,0.4078,196.99,42549.1,0.4361
264,"Lloyd, Mckinney and Collins",SEO,3175,162,60,0.0512,0.3735,92.18,5530.74,0.6787
265,Tran Inc,SEO,31180,2589,1011,0.083,0.3909,179.62,181595,0.6017
266,Gay Inc,SEO,15152,1301,454,0.0859,0.3491,97.56,44294.5,0.5809
267,Valentine-Holland,SEO,12029,523,175,0.0435,0.3349,176,30800.7,0.507
268,Jimenez Ltd,SEO,5977,469,172,0.0786,0.3679,192.87,33173.9,0.5925
269,Hicks-Hill,SEO,9183,606,206,0.066,0.3409,199.43,41083.6,0.6756
270,Baird-Sanchez,SEO,24099,2160,888,0.0897,0.4114,103.73,92110.6,0.4791
271,"Thomas, Lee and Greene",SEO,14565,977,387,0.0671,0.3968,104.89,40592,0.4394
272,"Suarez, Shields and Hill",SEO,39023,2292,725,0.0587,0.3163,107.74,78108.9,0.4894
273,Morgan-French,SEO,19864,1430,406,0.072,0.2846,167.92,68174.3,0.6252
274,Hoover-Campbell,SEO,22055,1840,534,0.0834,0.2904,216.43,115573,0.6552
275,Monroe-Carpenter,SEO,19150,970,363,0.0507,0.3745,129.36,46956.6,0.4557
276,"Burns, Hernandez and Ryan",SEO,39033,2869,970,0.0735,0.3383,148.9,144429,0.6756
277,Cook-Hines,SEO,36873,2658,806,0.0721,0.3034,142.59,114924,0.5844
278,Gibson-Morris,SEO,25927,1266,462,0.0489,0.365,95.16,43963.4,0.4832
279,Pollard and Sons,SEO,34037,2686,1002,0.0789,0.3733,128.65,128912,0.6051
280,"Reyes, Chase and Jenkins",SEO,12649,578,238,0.0457,0.413,131.39,31270.2,0.4292
281,Garner-Thornton,SEO,33586,1755,606,0.0523,0.3458,189.34,114742,0.6416
282,Hughes-Alvarado,SEO,20851,1865,532,0.0895,0.2858,170.71,90817.2,0.5955
283,"Pollard, Simpson and Johnson",SEO,28525,1524,475,0.0534,0.3119,145.67,69194.3,0.4546
284,"Sanford, Rivera and Garcia",SEO,30775,2473,970,0.0804,0.3926,104.41,101278,0.5082
285,Garcia-Lozano,SEO,3125,241,92,0.0773,0.3826,153.8,14149.8,0.4487
286,Bowen Group,SEO,12214,711,284,0.0582,0.3995,123.31,35018.9,0.4587
287,"Booker, Jones and Harrington",SEO,23045,2042,648,0.0886,0.3177,107.74,69813.9,0.4512
288,Morgan-Schwartz,SEO,32635,1453,481,0.0445,0.3313,160.78,77334.6,0.5709
289,"Miller, Murphy and Craig",SEO,23319,1279,522,0.0549,0.4087,92.21,48133.8,0.5451
290,"James, Stewart and Higgins",SEO,11147,709,286,0.0636,0.404,126.84,36276.9,0.6542
291,Brennan-Johnson,SEO,31173,1255,396,0.0403,0.3159,125.44,49672.3,0.4689
